table,fieldName,description,dataType,units,downloadPkg
BP_30min,startDateTime,"Date and time at which a sampling is initiated",dateTime,NA,basic
BP_30min,endDateTime,"Date and time at which a sampling is completed",dateTime,NA,basic
BP_30min,staPresMean,"Arithmetic mean of station pressure",real,kilopascal,basic
BP_30min,staPresMinimum,"Minimum station pressure",real,kilopascal,basic
BP_30min,staPresMaximum,"Maximum station pressure",real,kilopascal,basic
BP_30min,staPresVariance,"Variance in station pressure",real,kilopascalsSquared,basic
BP_30min,staPresNumPts,"Number of points used to calculate the arithmetic mean of station pressure",real,number,basic
BP_30min,staPresExpUncert,"Expanded uncertainty for station pressure",real,kilopascal,basic
BP_30min,staPresStdErMean,"Standard error of the mean for station pressure",real,kilopascal,basic
BP_30min,staPresRangeFailQM,"Station pressure quality metric that summarizes the failed outcomes of the range test over the averaging period, as a percent",real,percent,expanded
BP_30min,staPresRangePassQM,"Station pressure quality metric that summarizes the passed outcomes of the range test over the averaging period, as a percent",real,percent,expanded
BP_30min,staPresRangeNAQM,"Station pressure quality metric that summarizes when the range test could not be run over the averaging period, as a percent",real,percent,expanded
BP_30min,staPresPersistenceFailQM,"Station pressure quality metric that summarizes  the failed outcomes of the persistence test over the averaging period, as a percent",real,percent,expanded
BP_30min,staPresPersistencePassQM,"Station pressure quality metric that summarizes the passed outcomes of the persistence test over the averaging period, as a percent",real,percent,expanded
BP_30min,staPresPersistenceNAQM,"Station pressure quality metric that summarizes when the persistence test could not be run over the averaging period, as a percent",real,percent,expanded
BP_30min,staPresStepFailQM,"Station pressure quality metric that summarizes the failed outcomes of the step test over the averaging period, as a percent",real,percent,expanded
BP_30min,staPresStepPassQM,"Station pressure quality metric that summarizes the passed outcomes of the step test over the averaging period, as a percent",real,percent,expanded
BP_30min,staPresStepNAQM,"Station pressure quality metric that summarizes when the step test could not be run over the averaging period, as a percent",real,percent,expanded
BP_30min,staPresNullFailQM,"Station pressure quality metric that summarizes the failed outcomes of the null test over the averaging period, as a percent",real,percent,expanded
BP_30min,staPresNullPassQM,"Station pressure quality metric that summarizes the passed outcomes of the null test over the averaging period, as a percent",real,percent,expanded
BP_30min,staPresNullNAQM,"Station pressure quality metric that summarizes when the null test could not be run over the averaging period, as a percent",real,percent,expanded
BP_30min,staPresGapFailQM,"Station pressure quality metric that summarizes the failed outcomes of the gap test over the averaging period, as a percent",real,percent,expanded
BP_30min,staPresGapPassQM,"Station pressure quality metric that summarizes the passed outcomes of the gap test over the averaging period, as a percent",real,percent,expanded
BP_30min,staPresGapNAQM,"Station pressure quality metric that summarizes when the gap test could not be run over the averaging period, as a percent",real,percent,expanded
BP_30min,staPresSpikeFailQM,"Station pressure quality metric that summarizes the failed outcomes of the spike test over the averaging period, as a percent",real,percent,expanded
BP_30min,staPresSpikePassQM,"Station pressure quality metric that summarizes the passed outcomes of the spike test over the averaging period, as a percent",real,percent,expanded
BP_30min,staPresSpikeNAQM,"Station pressure quality metric that summarizes when the spike test could not be run over the averaging period, as a percent",real,percent,expanded
BP_30min,staPresValidCalFailQM,"Station pressure quality metric that summarizes the failed outcomes of the valid calibration check over the averaging period, as a percent",real,percent,expanded
BP_30min,staPresValidCalPassQM,"Station pressure quality metric that summarizes the passed outcomes of the valid calibration check over the averaging period, as a percent",real,percent,expanded
BP_30min,staPresValidCalNAQM,"Station pressure quality metric that summarizes when the valid calibration check could not be run over the averaging period, as a percent",real,percent,expanded
BP_30min,staPresAlphaQM,"Station pressure quality metric detailing the outcomes of the alpha quality flag over the averaging period, as a percent and detailed in NEON.DOC.001113",real,percent,expanded
BP_30min,staPresBetaQM,"Station pressure quality metric detailing the outcomes of the beta quality flag over the averaging period, as a percent and detailed in NEON.DOC.001113",real,percent,expanded
BP_30min,staPresFinalQF,"Station pressure quality flag indicating whether a data product has passed or failed an overall assessment of its quality, detailed in NEON.DOC.001113 (1=fail, 0=pass)",unsigned integer,NA,basic
BP_30min,staPresFinalQFSciRvw,"Station pressure quality flag indicating whether a data product has failed a science review of its quality, detailed in NEON.DOC.001113 (1=fail, 0=pass/not-reviewed)",unsigned integer,NA,expanded
BP_30min,corPres,"Mean station pressure corrected to sea level",real,kilopascal,basic
BP_30min,corPresExpUncert,"Expanded uncertainty for pressure corrected to sea level",real,kilopascal,basic
BP_30min,corPresTempQF,"Corrected pressure quality flag that assesses whether temperature measurements for correcting pressure were available (0=yes, 1=no)",unsigned integer,NA,expanded
BP_30min,corPresDewPtQF,"Corrected pressure quality flag that assesses whether dew point measurements for correcting pressure were available (0=yes, 1=no)",unsigned integer,NA,expanded
BP_30min,corPresFinalQF,"Pressure corrected to sea level quality flag indicating whether a data product has passed or failed an overall assessment of its quality, detailed in NEON.DOC.000653 and NEON.DOC.001113 (1=fail, 0=pass)",unsigned integer,NA,basic
BP_30min,corPresFinalQFSciRvw,"Pressure corrected to sea level quality flag indicating whether a data product has failed a science review of its quality, detailed in NEON.DOC.001113 (1=fail, 0=pass/not-reviewed)",unsigned integer,NA,expanded
BP_1min,startDateTime,"Date and time at which a sampling is initiated",dateTime,NA,basic
BP_1min,endDateTime,"Date and time at which a sampling is completed",dateTime,NA,basic
BP_1min,staPresMean,"Arithmetic mean of station pressure",real,kilopascal,basic
BP_1min,staPresMinimum,"Minimum station pressure",real,kilopascal,basic
BP_1min,staPresMaximum,"Maximum station pressure",real,kilopascal,basic
BP_1min,staPresVariance,"Variance in station pressure",real,kilopascalsSquared,basic
BP_1min,staPresNumPts,"Number of points used to calculate the arithmetic mean of station pressure",real,number,basic
BP_1min,staPresExpUncert,"Expanded uncertainty for station pressure",real,kilopascal,basic
BP_1min,staPresRangeFailQM,"Station pressure quality metric that summarizes the failed outcomes of the range test over the averaging period, as a percent",real,percent,expanded
BP_1min,staPresRangePassQM,"Station pressure quality metric that summarizes the passed outcomes of the range test over the averaging period, as a percent",real,percent,expanded
BP_1min,staPresRangeNAQM,"Station pressure quality metric that summarizes when the range test could not be run over the averaging period, as a percent",real,percent,expanded
BP_1min,staPresPersistenceFailQM,"Station pressure quality metric that summarizes  the failed outcomes of the persistence test over the averaging period, as a percent",real,percent,expanded
BP_1min,staPresPersistencePassQM,"Station pressure quality metric that summarizes the passed outcomes of the persistence test over the averaging period, as a percent",real,percent,expanded
BP_1min,staPresPersistenceNAQM,"Station pressure quality metric that summarizes when the persistence test could not be run over the averaging period, as a percent",real,percent,expanded
BP_1min,staPresStepFailQM,"Station pressure quality metric that summarizes the failed outcomes of the step test over the averaging period, as a percent",real,percent,expanded
BP_1min,staPresStepPassQM,"Station pressure quality metric that summarizes the passed outcomes of the step test over the averaging period, as a percent",real,percent,expanded
BP_1min,staPresStepNAQM,"Station pressure quality metric that summarizes when the step test could not be run over the averaging period, as a percent",real,percent,expanded
BP_1min,staPresNullFailQM,"Station pressure quality metric that summarizes the failed outcomes of the null test over the averaging period, as a percent",real,percent,expanded
BP_1min,staPresNullPassQM,"Station pressure quality metric that summarizes the passed outcomes of the null test over the averaging period, as a percent",real,percent,expanded
BP_1min,staPresNullNAQM,"Station pressure quality metric that summarizes when the null test could not be run over the averaging period, as a percent",real,percent,expanded
BP_1min,staPresGapFailQM,"Station pressure quality metric that summarizes the failed outcomes of the gap test over the averaging period, as a percent",real,percent,expanded
BP_1min,staPresGapPassQM,"Station pressure quality metric that summarizes the passed outcomes of the gap test over the averaging period, as a percent",real,percent,expanded
BP_1min,staPresGapNAQM,"Station pressure quality metric that summarizes when the gap test could not be run over the averaging period, as a percent",real,percent,expanded
BP_1min,staPresSpikeFailQM,"Station pressure quality metric that summarizes the failed outcomes of the spike test over the averaging period, as a percent",real,percent,expanded
BP_1min,staPresSpikePassQM,"Station pressure quality metric that summarizes the passed outcomes of the spike test over the averaging period, as a percent",real,percent,expanded
BP_1min,staPresSpikeNAQM,"Station pressure quality metric that summarizes when the spike test could not be run over the averaging period, as a percent",real,percent,expanded
BP_1min,staPresValidCalFailQM,"Station pressure quality metric that summarizes the failed outcomes of the valid calibration check over the averaging period, as a percent",real,percent,expanded
BP_1min,staPresValidCalPassQM,"Station pressure quality metric that summarizes the passed outcomes of the valid calibration check over the averaging period, as a percent",real,percent,expanded
BP_1min,staPresValidCalNAQM,"Station pressure quality metric that summarizes when the valid calibration check could not be run over the averaging period, as a percent",real,percent,expanded
BP_1min,staPresAlphaQM,"Station pressure quality metric detailing the outcomes of the alpha quality flag over the averaging period, as a percent and detailed in NEON.DOC.001113",real,percent,expanded
BP_1min,staPresBetaQM,"Station pressure quality metric detailing the outcomes of the beta quality flag over the averaging period, as a percent and detailed in NEON.DOC.001113",real,percent,expanded
BP_1min,staPresFinalQF,"Station pressure quality flag indicating whether a data product has passed or failed an overall assessment of its quality, detailed in NEON.DOC.001113 (1=fail, 0=pass)",unsigned integer,NA,basic
BP_1min,staPresFinalQFSciRvw,"Station pressure quality flag indicating whether a data product has failed a science review of its quality, detailed in NEON.DOC.001113 (1=fail, 0=pass/not-reviewed)",unsigned integer,NA,expanded
BP_1min,corPres,"Mean station pressure corrected to sea level",real,kilopascal,basic
BP_1min,corPresExpUncert,"Expanded uncertainty for pressure corrected to sea level",real,kilopascal,basic
BP_1min,corPresTempQF,"Corrected pressure quality flag that assesses whether temperature measurements for correcting pressure were available (0=yes, 1=no)",unsigned integer,NA,expanded
BP_1min,corPresDewPtQF,"Corrected pressure quality flag that assesses whether dew point measurements for correcting pressure were available (0=yes, 1=no)",unsigned integer,NA,expanded
BP_1min,corPresFinalQF,"Pressure corrected to sea level quality flag indicating whether a data product has passed or failed an overall assessment of its quality, detailed in NEON.DOC.000653 and NEON.DOC.001113 (1=fail, 0=pass)",unsigned integer,NA,basic
BP_1min,corPresFinalQFSciRvw,"Pressure corrected to sea level quality flag indicating whether a data product has failed a science review of its quality, detailed in NEON.DOC.001113 (1=fail, 0=pass/not-reviewed)",unsigned integer,NA,expanded
