table,fieldName,description,dataType,units,downloadPkg
RHbuoy_30min,startDateTime,"Date and time at which a sampling is initiated",dateTime,NA,basic
RHbuoy_30min,endDateTime,"Date and time at which a sampling is completed",dateTime,NA,basic
RHbuoy_30min,tempRHMean,"Arithmetic mean of temperature measures by RH sensor",real,celsius,basic
RHbuoy_30min,tempRHMinimum,"Minimum temperature measures by RH sensor",real,celsius,basic
RHbuoy_30min,tempRHMaximum,"Maximum temperature measures by RH sensor",real,celsius,basic
RHbuoy_30min,tempRHVariance,"Variance in temperature measures by RH sensor",real,celsiusSquared,basic
RHbuoy_30min,tempRHNumPts,"Number of points used to calculate the arithmetic mean of temperature measures by RH sensor",real,number,basic
RHbuoy_30min,tempRHExpUncert,"Expanded uncertainty for temperature measures by RH sensor",real,celsius,basic
RHbuoy_30min,tempRHStdErMean,"Standard error of the mean for temperature measures by RH sensor",real,celsius,basic
RHbuoy_30min,tempRHRangeFailQM,"Temperature measures by RH sensor quality metric that summarizes the failed outcomes of the range test over the averaging period, as a percent",real,percent,expanded
RHbuoy_30min,tempRHRangePassQM,"Temperature measures by RH sensor quality metric that summarizes the passed outcomes of the range test over the averaging period, as a percent",real,percent,expanded
RHbuoy_30min,tempRHRangeNAQM,"Temperature measures by RH sensor quality metric that summarizes when the range test could not be run over the averaging period, as a percent",real,percent,expanded
RHbuoy_30min,tempRHPersistenceFailQM,"Temperature measures by RH sensor quality metric that summarizes  the failed outcomes of the persistence test over the averaging period, as a percent",real,percent,expanded
RHbuoy_30min,tempRHPersistencePassQM,"Temperature measures by RH sensor quality metric that summarizes the passed outcomes of the persistence test over the averaging period, as a percent",real,percent,expanded
RHbuoy_30min,tempRHPersistenceNAQM,"Temperature measures by RH sensor quality metric that summarizes when the persistence test could not be run over the averaging period, as a percent",real,percent,expanded
RHbuoy_30min,tempRHStepFailQM,"Temperature measures by RH sensor quality metric that summarizes the failed outcomes of the step test over the averaging period, as a percent",real,percent,expanded
