table,fieldName,description,dataType,units,downloadPkg
RHbuoy_1min,startDateTime,"Date and time at which a sampling is initiated",dateTime,NA,basic
RHbuoy_1min,endDateTime,"Date and time at which a sampling is completed",dateTime,NA,basic
RHbuoy_1min,RHMean,"Arithmetic mean of relative humidity",real,percent,basic
RHbuoy_1min,RHMinimum,"Minimum relative humidity",real,percent,basic
RHbuoy_1min,RHMaximum,"Maximum relative humidity",real,percent,basic
RHbuoy_1min,RHVariance,"Variance in relative humidity",real,percentSquared,basic
RHbuoy_1min,RHNumPts,"Number of points used to calculate the arithmetic mean of relative humidity",real,number,basic
RHbuoy_1min,RHExpUncert,"Expanded uncertainty for relative humidity",real,percent,basic
RHbuoy_1min,RHStdErMean,"Standard error of the mean for relative humidity",real,percent,basic
RHbuoy_1min,RHRangeFailQM,"Relative humidity quality metric that summarizes the failed outcomes of the range test over the averaging period, as a percent",real,percent,expanded
RHbuoy_1min,RHRangePassQM,"Relative humidity quality metric that summarizes the passed outcomes of the range test over the averaging period, as a percent",real,percent,expanded
RHbuoy_1min,RHRangeNAQM,"Relative humidity quality metric that summarizes when the range test could not be run over the averaging period, as a percent",real,percent,expanded
RHbuoy_1min,RHPersistenceFailQM,"Relative humidity quality metric that summarizes  the failed outcomes of the persistence test over the averaging period, as a percent",real,percent,expanded
RHbuoy_1min,RHPersistencePassQM,"Relative humidity quality metric that summarizes the passed outcomes of the persistence test over the averaging period, as a percent",real,percent,expanded
RHbuoy_1min,RHPersistenceNAQM,"Relative humidity quality metric that summarizes when the persistence test could not be run over the averaging period, as a percent",real,percent,expanded
RHbuoy_1min,RHStepFailQM,"Relative humidity quality metric that summarizes the failed outcomes of the step test over the averaging period, as a percent",real,percent,expanded
RHbuoy_1min,RHStepPassQM,"Relative humidity quality metric that summarizes the passed outcomes of the step test over the averaging period, as a percent",real,percent,expanded
RHbuoy_1min,RHStepNAQM,"Relative humidity quality metric that summarizes when the step test could not be run over the averaging period, as a percent",real,percent,expanded
RHbuoy_1min,RHNullFailQM,"Relative humidity quality metric that summarizes the failed outcomes of the null test over the averaging period, as a percent",real,percent,expanded
RHbuoy_1min,RHNullPassQM,"Relative humidity quality metric that summarizes the passed outcomes of the null test over the averaging period, as a percent",real,percent,expanded
RHbuoy_1min,RHNullNAQM,"Relative humidity quality metric that summarizes when the null test could not be run over the averaging period, as a percent",real,percent,expanded
RHbuoy_1min,RHGapFailQM,"Relative humidity quality metric that summarizes the failed outcomes of the gap test over the averaging period, as a percent",real,percent,expanded
RHbuoy_1min,RHGapPassQM,"Relative humidity quality metric that summarizes the passed outcomes of the gap test over the averaging period, as a percent",real,percent,expanded
RHbuoy_1min,RHGapNAQM,"Relative humidity quality metric that summarizes when the gap test could not be run over the averaging period, as a percent",real,percent,expanded
RHbuoy_1min,RHSpikeFailQM,"Relative humidity quality metric that summarizes the failed outcomes of the spike test over the averaging period, as a percent",real,percent,expanded
RHbuoy_1min,RHSpikePassQM,"Relative humidity quality metric that summarizes the passed outcomes of the spike test over the averaging period, as a percent",real,percent,expanded
RHbuoy_1min,RHSpikeNAQM,"Relative humidity quality metric that summarizes when the spike test could not be run over the averaging period, as a percent",real,percent,expanded
RHbuoy_1min,RHValidCalFailQM,"Relative humidity quality metric that summarizes the failed outcomes of the valid calibration check over the averaging period, as a percent",real,percent,expanded
RHbuoy_1min,RHValidCalPassQM,"Relative humidity quality metric that summarizes the passed outcomes of the valid calibration check over the averaging period, as a percent",real,percent,expanded
RHbuoy_1min,RHValidCalNAQM,"Relative humidity quality metric that summarizes when the valid calibration check could not be run over the averaging period, as a percent",real,percent,expanded
RHbuoy_1min,RHAlphaQM,"Relative humidity quality metric detailing the outcomes of the alpha quality flag over the averaging period, as a percent and detailed in NEON.DOC.001113",real,percent,expanded
RHbuoy_1min,RHBetaQM,"Relative humidity quality metric detailing the outcomes of the beta quality flag over the averaging period, as a percent and detailed in NEON.DOC.001113",real,percent,expanded
RHbuoy_1min,RHFinalQF,"Relative humidity quality flag indicating whether a data product has passed or failed an overall assessment of its quality, detailed in NEON.DOC.001113 (1=fail, 0=pass)",unsigned integer,NA,basic
RHbuoy_1min,RHFinalQFSciRvw,"Relative humidity quality flag indicating whether a data product has failed a science review of its quality, detailed in NEON.DOC.001113 (1=fail, 0=pass/not-reviewed)",unsigned integer,NA,expanded
RHbuoy_1min,tempRHMean,"Arithmetic mean of temperature measures by RH sensor",real,celsius,basic
RHbuoy_1min,tempRHMinimum,"Minimum temperature measures by RH sensor",real,celsius,basic
RHbuoy_1min,tempRHMaximum,"Maximum temperature measures by RH sensor",real,celsius,basic
RHbuoy_1min,tempRHVariance,"Variance in temperature measures by RH sensor",real,celsiusSquared,basic
RHbuoy_1min,tempRHNumPts,"Number of points used to calculate the arithmetic mean of temperature measures by RH sensor",real,number,basic
RHbuoy_1min,tempRHExpUncert,"Expanded uncertainty for temperature measures by RH sensor",real,celsius,basic
RHbuoy_1min,tempRHStdErMean,"Standard error of the mean for temperature measures by RH sensor",real,celsius,basic
RHbuoy_1min,tempRHRangeFailQM,"Temperature measures by RH sensor quality metric that summarizes the failed outcomes of the range test over the averaging period, as a percent",real,percent,expanded
RHbuoy_1min,tempRHRangePassQM,"Temperature measures by RH sensor quality metric that summarizes the passed outcomes of the range test over the averaging period, as a percent",real,percent,expanded
RHbuoy_1min,tempRHRangeNAQM,"Temperature measures by RH sensor quality metric that summarizes when the range test could not be run over the averaging period, as a percent",real,percent,expanded
RHbuoy_1min,tempRHPersistenceFailQM,"Temperature measures by RH sensor quality metric that summarizes  the failed outcomes of the persistence test over the averaging period, as a percent",real,percent,expanded
RHbuoy_1min,tempRHPersistencePassQM,"Temperature measures by RH sensor quality metric that summarizes the passed outcomes of the persistence test over the averaging period, as a percent",real,percent,expanded
RHbuoy_1min,tempRHPersistenceNAQM,"Temperature measures by RH sensor quality metric that summarizes when the persistence test could not be run over the averaging period, as a percent",real,percent,expanded
RHbuoy_1min,tempRHStepFailQM,"Temperature measures by RH sensor quality metric that summarizes the failed outcomes of the step test over the averaging period, as a percent",real,percent,expanded
RHbuoy_1min,tempRHStepPassQM,"Temperature measures by RH sensor quality metric that summarizes the passed outcomes of the step test over the averaging period, as a percent",real,percent,expanded
RHbuoy_1min,tempRHStepNAQM,"Temperature measures by RH sensor quality metric that summarizes when the step test could not be run over the averaging period, as a percent",real,percent,expanded
RHbuoy_1min,tempRHNullFailQM,"Temperature measures by RH sensor quality metric that summarizes the failed outcomes of the null test over the averaging period, as a percent",real,percent,expanded
RHbuoy_1min,tempRHNullPassQM,"Temperature measures by RH sensor quality metric that summarizes the passed outcomes of the null test over the averaging period, as a percent",real,percent,expanded
RHbuoy_1min,tempRHNullNAQM,"Temperature measures by RH sensor quality metric that summarizes when the null test could not be run over the averaging period, as a percent",real,percent,expanded
RHbuoy_1min,tempRHGapFailQM,"Temperature measures by RH sensor quality metric that summarizes the failed outcomes of the gap test over the averaging period, as a percent",real,percent,expanded
RHbuoy_1min,tempRHGapPassQM,"Temperature measures by RH sensor quality metric that summarizes the passed outcomes of the gap test over the averaging period, as a percent",real,percent,expanded
RHbuoy_1min,tempRHGapNAQM,"Temperature measures by RH sensor quality metric that summarizes when the gap test could not be run over the averaging period, as a percent",real,percent,expanded
