,LAI ,Plt ht 
,m2/m2,cm
24-Sep-13,,
25-Sep-13,,
26-Sep-13,,
27-Sep-13,,
28-Sep-13,,
29-Sep-13,3.596970833,1.179
30-Sep-13,,
01-Oct-13,,
02-Oct-13,,
03-Oct-13,,
04-Oct-13,,
05-Oct-13,2.292291667,1.18
06-Oct-13,,
07-Oct-13,,
08-Oct-13,,
09-Oct-13,,
10-Oct-13,,
11-Oct-13,,
12-Oct-13,2.3894125,1.184
13-Oct-13,,
14-Oct-13,,
15-Oct-13,,
16-Oct-13,,
17-Oct-13,,
18-Oct-13,,
19-Oct-13,,
20-Oct-13,,
21-Oct-13,,
22-Oct-13,,
23-Oct-13,,
24-Oct-13,,
25-Oct-13,,
26-Oct-13,,
27-Oct-13,,
28-Oct-13,,
29-Oct-13,,
30-Oct-13,,
31-Oct-13,,
01-Nov-13,,
02-Nov-13,,
03-Nov-13,,
04-Nov-13,,
05-Nov-13,,
06-Nov-13,,
07-Nov-13,,
08-Nov-13,,
09-Nov-13,,
10-Nov-13,,
11-Nov-13,,
12-Nov-13,,
13-Nov-13,,
14-Nov-13,,
15-Nov-13,,
16-Nov-13,,
17-Nov-13,,
18-Nov-13,,
19-Nov-13,,
20-Nov-13,,
21-Nov-13,,
22-Nov-13,,
23-Nov-13,,
24-Nov-13,,
25-Nov-13,,
26-Nov-13,,
27-Nov-13,,
28-Nov-13,,
29-Nov-13,,
30-Nov-13,,
01-Dec-13,,
02-Dec-13,,
03-Dec-13,,
04-Dec-13,,
05-Dec-13,,
06-Dec-13,,
07-Dec-13,,
08-Dec-13,,
09-Dec-13,,
10-Dec-13,,
11-Dec-13,,
12-Dec-13,,
13-Dec-13,,
14-Dec-13,,
15-Dec-13,,
16-Dec-13,,
17-Dec-13,,
18-Dec-13,,
19-Dec-13,,
20-Dec-13,,
21-Dec-13,0.2219625,0.273
22-Dec-13,,
23-Dec-13,,
24-Dec-13,,
25-Dec-13,,
26-Dec-13,,
27-Dec-13,,
28-Dec-13,0.662758333,0.378
29-Dec-13,,
30-Dec-13,,
31-Dec-13,,
