,LAI ,HEIGHTC
,m2/m2,cm
1-Jan-10,,
2-Jan-10,,
3-Jan-10,,
4-Jan-10,,
5-Jan-10,,
6-Jan-10,,
7-Jan-10,,
8-Jan-10,0.386875,35
9-Jan-10,,
10-Jan-10,,
11-Jan-10,,
12-Jan-10,,
13-Jan-10,,
14-Jan-10,,
15-Jan-10,1.265125,47
16-Jan-10,,
17-Jan-10,,
18-Jan-10,,
19-Jan-10,,
20-Jan-10,,
21-Jan-10,,
22-Jan-10,1.73085,55.5
23-Jan-10,,
24-Jan-10,,
25-Jan-10,,
26-Jan-10,,
27-Jan-10,,
28-Jan-10,,
29-Jan-10,3.5072,62.75
30-Jan-10,,
31-Jan-10,,
1-Feb-10,,
2-Feb-10,,
3-Feb-10,,
4-Feb-10,,
5-Feb-10,5.113925,76
6-Feb-10,,
7-Feb-10,,
8-Feb-10,,
9-Feb-10,,
10-Feb-10,,
11-Feb-10,,
12-Feb-10,,
13-Feb-10,5.9841125,75.25
14-Feb-10,,
15-Feb-10,,
16-Feb-10,,
17-Feb-10,,
18-Feb-10,,
19-Feb-10,,
20-Feb-10,6.7804625,78.75
21-Feb-10,,
22-Feb-10,,
23-Feb-10,,
24-Feb-10,,
25-Feb-10,,
26-Feb-10,,
27-Feb-10,7.06745,78
28-Feb-10,,
1-Mar-10,,
2-Mar-10,,
3-Mar-10,,
4-Mar-10,,
5-Mar-10,,
6-Mar-10,7.8565625,98.25
7-Mar-10,,
8-Mar-10,,
9-Mar-10,,
10-Mar-10,,
11-Mar-10,,
12-Mar-10,,
13-Mar-10,6.1317125,111.25
14-Mar-10,,
15-Mar-10,,
16-Mar-10,,
17-Mar-10,,
18-Mar-10,,
19-Mar-10,7.3435,120
20-Mar-10,,
21-Mar-10,,
22-Mar-10,,
23-Mar-10,,
24-Mar-10,,
25-Mar-10,,
26-Mar-10,,
27-Mar-10,3.847,121.25
28-Mar-10,,
29-Mar-10,,
30-Mar-10,,
31-Mar-10,,
1-Apr-10,2.7057375,116.75
2-Apr-10,,
3-Apr-10,,
4-Apr-10,,
5-Apr-10,,
6-Apr-10,,
7-Apr-10,,
8-Apr-10,,
9-Apr-10,0.2946625,112.75
10-Apr-10,,
11-Apr-10,,
12-Apr-10,,
13-Apr-10,,
14-Apr-10,,
15-Apr-10,,
16-Apr-10,,
17-Apr-10,,
18-Apr-10,,
19-Apr-10,,
20-Apr-10,,
21-Apr-10,,
22-Apr-10,,
23-Apr-10,,
24-Apr-10,,
25-Apr-10,,
26-Apr-10,,
27-Apr-10,,
