table,fieldName,description,dataType,units,downloadPkg
SLRNRB_30min,startDateTime,"Date and time at which a sampling is initiated",dateTime,NA,basic
SLRNRB_30min,endDateTime,"Date and time at which a sampling is completed",dateTime,NA,basic
SLRNRB_30min,inSWMean,"Arithmetic mean of incoming shortwave radiation",real,wattsPerSquareMeter,basic
SLRNRB_30min,inSWMinimum,"Minimum incoming shortwave radiation",real,wattsPerSquareMeter,basic
SLRNRB_30min,inSWMaximum,"Maximum incoming shortwave radiation",real,wattsPerSquareMeter,basic
SLRNRB_30min,inSWVariance,"Variance in incoming shortwave radiation",real,wattsPerSquareMeterSquared,basic
SLRNRB_30min,inSWNumPts,"Number of points used to calculate the arithmetic mean of incoming shortwave radiation",real,number,basic
SLRNRB_30min,inSWExpUncert,"Expanded uncertainty for incoming shortwave radiation",real,wattsPerSquareMeter,basic
SLRNRB_30min,inSWStdErMean,"Standard error of the mean for incoming shortwave radiation",real,wattsPerSquareMeter,basic
SLRNRB_30min,inSWRangeFailQM,"Incoming shortwave radiation quality metric that summarizes the failed outcomes of the range test over the averaging period, as a percent",real,percent,expanded
SLRNRB_30min,inSWRangePassQM,"Incoming shortwave radiation quality metric that summarizes the passed outcomes of the range test over the averaging period, as a percent",real,percent,expanded
SLRNRB_30min,inSWRangeNAQM,"Incoming shortwave radiation quality metric that summarizes when the range test could not be run over the averaging period, as a percent",real,percent,expanded
SLRNRB_30min,inSWPersistenceFailQM,"Incoming shortwave radiation quality metric that summarizes  the failed outcomes of the persistence test over the averaging period, as a percent",real,percent,expanded
SLRNRB_30min,inSWPersistencePassQM,"Incoming shortwave radiation quality metric that summarizes the passed outcomes of the persistence test over the averaging period, as a percent",real,percent,expanded
SLRNRB_30min,inSWPersistenceNAQM,"Incoming shortwave radiation quality metric that summarizes when the persistence test could not be run over the averaging period, as a percent",real,percent,expanded
SLRNRB_30min,inSWStepFailQM,"Incoming shortwave radiation quality metric that summarizes the failed outcomes of the step test over the averaging period, as a percent",real,percent,expanded
SLRNRB_30min,inSWStepPassQM,"Incoming shortwave radiation quality metric that summarizes the passed outcomes of the step test over the averaging period, as a percent",real,percent,expanded
SLRNRB_30min,inSWStepNAQM,"Incoming shortwave radiation quality metric that summarizes when the step test could not be run over the averaging period, as a percent",real,percent,expanded
SLRNRB_30min,inSWNullFailQM,"Incoming shortwave radiation quality metric that summarizes the failed outcomes of the null test over the averaging period, as a percent",real,percent,expanded
